Date/Time;Location;Small;Large
10.2.2019 11:51;F;53500;5800
10.2.2019 11:51;F;70500;6700
10.2.2019 11:51;F;74500;4400
10.2.2019 11:51;F;60400;4800
10.2.2019 11:52;F;47000;5600
10.2.2019 11:52;F;49500;6500
10.2.2019 11:52;F;64000;7900
10.2.2019 11:52;F;75100;6300
10.2.2019 11:52;F;109800;6700
10.2.2019 11:52;F;66900;7300
10.2.2019 11:53;F;191100;7900
10.2.2019 11:53;F;137900;9600
10.2.2019 11:53;F;146700;5200
10.2.2019 11:53;F;152800;5200
10.2.2019 11:53;F;116500;4600
10.2.2019 11:53;F;129700;5600
10.2.2019 11:54;F;232000;7900
10.2.2019 11:54;F;417200;7700
10.2.2019 11:54;F;159600;7300
10.2.2019 11:54;F;69300;5200
10.2.2019 11:54;F;73200;6000
10.2.2019 11:54;F;43200;5200
10.2.2019 11:55;F;42600;3900
10.2.2019 11:55;F;55200;4200
10.2.2019 11:55;F;89600;5000
10.2.2019 11:55;F;571800;6700
10.2.2019 11:55;F;353400;4600
10.2.2019 11:55;F;205500;6700
10.2.2019 11:56;F;81000;7500
10.2.2019 11:56;F;74900;7100
10.2.2019 11:56;F;143400;6300
10.2.2019 11:56;F;656200;10900
10.2.2019 11:56;F;279500;6500
10.2.2019 11:56;F;304200;5800
10.2.2019 11:57;F;123400;3900
10.2.2019 11:57;F;1197200;16100
10.2.2019 11:57;F;752800;10200
10.2.2019 11:57;F;96300;7300
10.2.2019 11:57;F;174000;5200
10.2.2019 11:57;F;357000;6900
10.2.2019 11:58;F;1355900;10000
10.2.2019 11:58;F;996200;12600
10.2.2019 11:58;F;311000;5200
10.2.2019 11:58;F;737900;7900
10.2.2019 11:58;F;302100;5000
10.2.2019 11:58;F;466600;7100
10.2.2019 11:59;F;452100;6500
10.2.2019 11:59;F;312400;3900
10.2.2019 11:59;F;210200;5600
10.2.2019 11:59;F;1649700;105000
10.2.2019 11:59;F;6190500;815200
10.2.2019 11:59;F;60500;1477300
10.2.2019 12:00;F;1876700;20300
10.2.2019 12:00;F;512100;10200
10.2.2019 12:00;F;784900;9400
10.2.2019 12:00;F;227400;5200
10.2.2019 12:00;F;145300;4400
10.2.2019 12:00;F;270200;4200
10.2.2019 12:01;F;477300;7900
10.2.2019 12:01;F;817900;11500
10.2.2019 12:01;F;1702600;16300
10.2.2019 12:01;F;1174700;13800
10.2.2019 12:01;F;800300;8100
10.2.2019 12:01;F;1120100;14200
10.2.2019 12:02;F;1946700;21800
10.2.2019 12:02;F;1881100;15300
10.2.2019 12:02;F;1650300;20300
10.2.2019 12:02;F;1023500;10700
10.2.2019 12:02;F;728200;8400
10.2.2019 12:02;F;639000;8400
